name,ereefs_scale,scs_scale,latitude,longitude
Cairns,"1","1",-16.887840,145.763331
Townsville,"1","1",-19.249950,146.769997
Mackay,"1","1",-21.143892,149.150007
Rockhampton,"1","1",-23.363911,150.520001
Brisbane,"1",,-27.453085,153.033147
Innisfail,"2",,-17.531347,146.038672
Gladstone,"2","1",-23.853339,151.246726
Yeppoon,"2",,-23.132918,150.756731
Hervey Bay,"2",,-25.288703,152.840944
Gold Coast,"2",,-28.081504,153.448246
Lockhart River,"3",,-12.785541,143.342202
Cooktown,"3","1",-15.471908,145.251042
Port Douglas,"3",,-16.484588,145.458722
Ingham,"3",,-18.649574,146.166623
Bowen,"3","1",-20.001326,148.208669
Bundaberg,"3",,-24.879064,152.350897
Sunshine Coast,"3",,-26.679988,153.050027
Ayr,"4",,-19.570241,147.399468
Agnes Water,"4",,-24.211365,151.903155
Proserpine,,"1",-20.416236,148.583478
Maryborough,,"1",-25.549101,152.720900
